==== Token Counts Dump ====
Total tokens: 5428, Tokens with book>0: 0



==== Token Counts Dump ====
Total tokens: 5428, Tokens with book>0: 5428

81189419113537886567141037267749798683714794143123681392914199518882926204158 2 1 0 0
81976678146839292217508804211120381427275061195305777237803930736988295195726 2 1 0 0
22275724615849533554350078496995237004551397479661085460188996135312574516033 0 1 0 0
551338336248709193542894154196874010399496387179911493901059240495629755264 0 1 0 0
74099413925921557477556037557853922419968351239593556257858533039227664895960 0 1 0 0
4674626473088142649038205193880214046702974716588116646595833932168877794447 0 1 0 0
37186597914715005452782013420453477339933223549152646647330111663702071863347 0 1 0 0
27530654147977907907423743227058670209375036605495295387670850772016950758706 0 1 0 0
69946174965341615479039033688893976348222167096569246554440141365241627803979 0 1 0 0
31452552476986125286248129370051684258116801894782905906410733440901085724920 0 1 0 0
56255839373638134572423966671983219161016254334195145559813106612803305287634 0 1 0 0
13422480136767580531770999587063457425596147340543008592799935647227414618154 0 1 0 0
46690863355325116694826784750344669262093952565106426917839471295550635502192 0 1 0 0
54858424271075189467406750319111672659113663616911083235703542466374113811616 0 1 0 0
6446514219752124934715496995983543479855839803597507132250260113447576325071 0 1 0 0
65476110678991384684248514401125773987918251795690876769083793338599271613829 0 1 0 0
21787257977431440205415354327707155407355126144609423263847233034445644746038 0 1 0 0
16991206513783569882367640281535033674586016595152444816393966227246899590650 0 1 0 0
7400735513900940895832591657277269316375993108283350901186523427322146626446 0 1 0 0
99010744481978628088465208607840048194987688570200026543652924328304442316471 0 1 0 0
27256219343081103425596336914490488875221192244055422314182570191920301330753 0 1 0 0
111783890389424150994100275404143119898513918520064990094885158928445978859590 0 1 0 0
46866435854271862374494188672505713574109801250055407889122256767623499426244 0 1 0 0
26516516240575019486566699691358546687971204098338092875450160048953577540330 0 1 0 0
95811185604001703792171123465368365619380611355353306905491288149056119274187 0 1 0 0
90115664157921464777857075344101440716640986605262431395023561951313708272021 0 1 0 0
3430296883901638649859899776957598481984354710768341009045789767842646774763 0 1 0 0
64546087076381649254096231391016290658399563380988817097103721962871621762154 0 1 0 0
53329189831440627636636868515802265592481089176874040640959387461713752964289 10 1 0 0
109644478546819520264613227061774401294354783943566712879572955957395810682943 10 1 0 0
58194798786674267467235696472878300864943462064955274098210719743062794563955 18 1 0 0
86127053351389280317665592955308422023136163174658857021506191296325242966070 18 1 0 0
104722052431690930274101802880821222863306150086947760244947275323900597430315 0 1 0 0
43064594967436863767974738087350907516117660056590094760845362477636077460627 0 1 0 0
87510770118397426986158590090863589252315765603645729013990558851388284468996 0 1 0 0
20879640973319123250338975428982135228427005120942291011574287610450402140445 0 1 0 0
28473404453722511806444264439857413880457576137109643526617485185412066339212 0 1 0 0
108167556780084697743188374229777378662707381425020113689038445319891825373080 0 1 0 0
79009917913288306274041152361771198321807822513478208443261688265797648899342 0 1 0 0
42749919417566821032301246207035053672104304881290942160005189184013634981274 0 1 0 0
39400158105116740685461932201167901059931310214720163411111427835617800165985 0 1 0 0
96669631461035207722976928583190934390206105642486425160208633923891213499865 0 1 0 0
86019455241907422653867262556114812944712906754904362408458492077197614631906 0 1 0 0
70845842032961586509890308234568255102608971479018189331419016871665491313284 0 1 0 0
113975458517403909705636895841122039906068099619374519335006648136869573995133 0 1 0 0
40136181571269240849576984361777576758987588134495157550401973204026728328314 0 1 0 0
59362612508604430369909686753558802893316005686177869328812980216017706995126 0 1 0 0
38700113498012872204256621630452419109622336285674615412320893252450107557069 0 1 0 0
5462382927422026113963386378641924722912661520244118422016113656755897748069 0 1 0 0
95987624677510199244868191065986226287203488548637327650422909651735771347948 0 1 0 0
54171715301866210950919905772096838553532078657378716275262411135149387821606 0 1 0 0
62080321584539369811432679322813203459588094030430382853994563971544872686073 0 1 0 0
49955451983887716303139844058377538462497987285989875635569498628740846103877 0 1 0 0
106095347019083614967945889181705967178174398783073209945697642831607501635570 0 1 0 0
50745184899705060537074368230593094851709757414784910658466094780115509157671 0 1 0 0
23038657230628709211288379167555936370070268414317611738975255194147878678034 0 1 0 0
12750178989930366497288397063860856685206433034698781641226560818959672405081 0 1 0 0
40693021157211962051887117170906308735389542326126261127743380074151023200020 0 1 0 0
46761660179332069804672938818078757328471942226851817515915664165903610448458 0 1 0 0
19935765757952558338908174871354642356132533382903208253311078372386868863993 0 1 0 0
42925434491125478004659974044125976815668765149149846859355684967698262378504 0 1 0 0
